"","movie","director","spectator","point","genre","release","limit"
"265","타잔 3D","라인하드 클루스","598204",6.93,"애니메이션, 액션",2014-01-09,"전체 관람가"
"266","패션왕","오기환","594876",6.8,"드라마, 코미디",2014-11-06,"15세 관람가"
"267","황제를 위하여","박상준","591502",6.25,"액션, 느와르",2014-06-11,"청소년 관람불가"
"268","더 울프 오브 월 스트리트","마틴 스콜세지","586005",8.08,"코미디, 범죄, 드라마",2014-01-09,"청소년 관람불가"
"269","스텝 업: 올 인","트리시 시에","565049",8.3,"드라마, 멜로/로맨스",2014-09-03,"12세 관람가"
"270","몬스터","황인호","526547",6.26,"스릴러",2014-03-13,"청소년 관람불가"
"271","노예 12년","스티브 맥퀸","499038",8.33,"드라마",2014-02-27,"15세 관람가"
"272","또 하나의 약속","김태윤","497994",9.25,"드라마",2014-02-06,"12세 관람가"
"273","소녀괴담","오인천","481707",5.83,"공포, 스릴러",2014-07-02,"15세 관람가"
"274","조선미녀삼총사","박제현","480361",5.64,"코미디, 액션, 드라마",2014-01-29,"12세 관람가"
"275","넛잡: 땅콩 도둑들","피터 레페니오티스","479280",7.33,"애니메이션, 모험",2014-01-29,"전체 관람가"
"276","마담 뺑덕","임필성","471248",6.55,"멜로/로맨스",2014-10-02,"청소년 관람불가"
"277","신이 보낸 사람","김진무","424849",8.56,"드라마",2014-02-13,"15세 관람가"
"278","다이버전트","닐 버거","424086",7.62,"SF, 판타지, 액션",2014-04-16,"15세 관람가"
"279","주온 : 끝의 시작","오치아이 마사유키","410644",5.36,"공포",2014-07-16,"15세 관람가"
"280","좋은 친구들","이도윤","407323",7.44,"범죄, 드라마",2014-07-10,"청소년 관람불가"
"281","닌자터틀","조나단 리브스만","400333",8.07,"모험, 액션, 코미디",2014-08-28,"12세 관람가"
"282","명탐정 코난: 이차원의 저격수","시즈노 코분","398768",8.65,"애니메이션, 서스펜스",2014-08-06,"12세 관람가"
"283","나의 독재자","이해준","386074",7.38,"드라마",2014-10-30,"15세 관람가"
"284","천재강아지 미스터 피바디","롭 민코프","385488",8.54,"애니메이션, 가족",2014-04-24,"전체 관람가"
"285","그녀","스파이크 존즈","367154",8.69,"드라마, 멜로/로맨스",2014-05-22,"15세 관람가"
"286","하이힐","장진","343487",7.75,"느와르, 액션",2014-06-03,"청소년 관람불가"
"287","숲속으로","롭 마샬","341882",5.49,"판타지, 뮤지컬",2014-12-24,"전체 관람가"
"288","선 오브 갓","크리스토퍼 스펜서","329286",8.41,"드라마",2014-04-10,"12세 관람가"
"289","잭 라이언 : 코드네임 쉐도우","케네스 브래너","327591",6.64,"액션, 드라마, 스릴러",2014-01-16,"12세 관람가"
"290","극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성","유야마 쿠니히코","321602",8.93,"애니메이션, 모험",2014-01-09,"전체 관람가"
"291","레드카펫","박범수","316955",8.42,"멜로/로맨스, 코미디",2014-10-23,"15세 관람가"
"292","미녀와 야수","크리스토프 갱스","316334",7.48,"판타지, 멜로/로맨스",2014-06-18,"전체 관람가"
"293","비행기2: 소방구조대","로버츠 개너웨이","311456",8.07,"애니메이션, 모험",2014-08-13,"전체 관람가"
"294","개를 훔치는 완벽한 방법","김성호","306743",8.78,"드라마, 가족",2014-12-31,"전체 관람가"
"295","프랑켄슈타인","스튜어트 베티","299205",6.33,"액션",2014-02-06,"12세 관람가"
"296","러브, 로지","크리스티안 디터","296748",7.97,"멜로/로맨스",2014-12-10,"15세 관람가"
"297","오큘러스","마이크 플래너건","279438",6.61,"미스터리, 공포",2014-05-29,"15세 관람가"
"298","사랑에 대한 모든 것","제임스 마쉬","278087",8,"멜로/로맨스, 드라마",2014-12-10,"12세 관람가"
"299","마야","알렉스 슈타더만","265697",8.3,"애니메이션",2014-09-04,"전체 관람가"
"300","뽀로로 극장판 눈요정 마을 대모험","김현호","258909",7.97,"애니메이션",2014-12-11,"전체 관람가"
"301","베테랑","류승완","13414200",9.24,"액션, 드라마",2015-08-05,"15세 관람가"
"302","암살","최동훈","12706819",9.1,"액션, 드라마",2015-07-22,"15세 관람가"
"303","어벤져스: 에이지 오브 울트론","조스 웨던","10494840",8.59,"액션, 모험, 판타지",2015-04-23,"12세 관람가"
"304","히말라야","이석훈","7759711",8.67,"드라마",2015-12-16,"12세 관람가"
"305","내부자들","우민호","7072501",9.06,"범죄, 드라마",2015-11-19,"청소년 관람불가"
"306","사도","이준익","6247651",8.49,"드라마",2015-09-16,"12세 관람가"
"307","킹스맨 : 시크릿 에이전트","매튜 본","6129651",9.02,"액션, 스릴러",2015-02-11,"청소년 관람불가"
"308","미션 임파서블: 로그네이션","크리스토퍼 맥쿼리","6126488",8.81,"액션, 모험, 스릴러",2015-07-30,"15세 관람가"
"309","연평해전","김학순","6044956",9.14,"드라마",2015-06-24,"12세 관람가"
"310","쥬라기 월드","콜린 트레보로우","5546823",8.26,"액션, 모험, SF",2015-06-11,"12세 관람가"
"311","검은 사제들","장재현","5443232",8.55,"미스터리, 드라마",2015-11-05,"15세 관람가"
"312","인사이드 아웃","피트 닥터","4969735",9.04,"애니메이션, 코미디",2015-07-09,"전체 관람가"
"313","마션","리들리 스콧","4881865",8.72,"모험, 드라마, SF",2015-10-08,"12세 관람가"
"314","매드맥스: 분노의 도로","조지 밀러","3884129",8.86,"액션, 모험, 스릴러",2015-05-14,"15세 관람가"
"315","조선명탐정 : 사라진 놉의 딸","김석윤","3872015",8.07,"코미디, 모험",2015-02-11,"12세 관람가"
"316","인턴","낸시 마이어스","3611166",9.04,"코미디",2015-09-24,"12세 관람가"
"317","스타워즈: 깨어난 포스","J.J. 에이브럼스","3273873",8.21,"액션, 모험, 판타지",2015-12-17,"12세 관람가"
"318","분노의 질주: 더 세븐","제임스 완","3248904",9.21,"액션, 범죄, 스릴러",2015-04-01,"15세 관람가"
"319","터미네이터 제니시스","앨런 테일러","3240378",8.13,"액션, 모험, SF",2015-07-02,"15세 관람가"
"320","스물","이병헌","3044859",8.6,"코미디, 드라마",2015-03-25,"15세 관람가"
"321","극비수사","곽경택","2860786",8.35,"드라마, 범죄",2015-06-18,"15세 관람가"
"322","앤트맨","페이튼 리드","2847712",8.71,"액션, SF",2015-09-03,"12세 관람가"
"323","빅 히어로","돈 홀","2801949",9.29,"애니메이션, 액션",2015-01-21,"전체 관람가"
"324","메이즈 러너: 스코치 트라이얼","웨스 볼","2744422",8.36,"액션, SF, 스릴러",2015-09-16,"12세 관람가"
"325","탐정 : 더 비기닝","김정훈","2625686",8.62,"코미디, 범죄",2015-09-24,"15세 관람가"
"326","미니언즈","카일 발다","2625636",8.25,"애니메이션, 코미디",2015-07-29,"전체 관람가"
"327","스파이","폴 페이그","2318748",8.82,"코미디, 액션",2015-05-21,"15세 관람가"
"328","악의 연대기","백운학","2192525",8.22,"범죄, 스릴러",2015-05-14,"15세 관람가"
"329","강남 1970","유하","2192276",7.76,"액션, 드라마",2015-01-21,"청소년 관람불가"
"330","내부자들: 디 오리지널","우민호","2084909",9.09,"범죄, 드라마",2015-12-31,"청소년 관람불가"
"331","뷰티 인사이드","백종열","2057996",8.25,"멜로/로맨스",2015-08-20,"12세 관람가"
"332","테이큰 3","올리비에 메가턴","2006564",8.06,"액션, 범죄, 스릴러",2015-01-01,"15세 관람가"
"333","오늘의 연애","박진표","1892125",7.79,"멜로/로맨스, 코미디",2015-01-14,"15세 관람가"
"334","007 스펙터","샘 멘데스","1820839",7.53,"액션, 모험, 범죄",2015-11-12,"15세 관람가"
"335","대호","박훈정","1762733",8.21,"드라마",2015-12-16,"12세 관람가"
"336","이미테이션 게임","모튼 틸덤","1744213",8.72,"드라마, 스릴러",2015-02-17,"15세 관람가"
"337","샌 안드레아스","브래드 페이튼","1716455",8.3,"액션, 드라마, 스릴러",2015-06-03,"12세 관람가"
"338","쎄시봉","김현석","1715370",7.93,"멜로/로맨스, 드라마",2015-02-05,"15세 관람가"
"339","더 폰","김봉주","1596762",8.05,"액션, 스릴러",2015-10-22,"15세 관람가"
"340","위플래쉬","데이미언 셔젤","1589048",8.87,"드라마",2015-03-12,"15세 관람가"
"341","몬스터 호텔 2","젠디 타타코브스키","1515097",8.63,"애니메이션, 코미디",2015-12-24,"전체 관람가"
"342","차이나타운","한준희","1472147",7.58,"범죄, 드라마",2015-04-29,"청소년 관람불가"
"343","장수상회","강제규","1166229",8.7,"드라마, 멜로/로맨스",2015-04-09,"12세 관람가"
"344","성난 변호사","허종호","1131154",8.49,"범죄, 액션",2015-10-08,"15세 관람가"
"345","간신","민규동","1110274",7.04,"드라마",2015-05-21,"청소년 관람불가"
"346","박물관이 살아있다 : 비밀의 무덤","숀 레비","1101768",8.17,"모험, 코미디, 가족",2015-01-14,"전체 관람가"
"347","그놈이다","윤준형","1046313",7.53,"스릴러",2015-10-28,"15세 관람가"
"348","미쓰 와이프","강효진","988451",8.68,"코미디",2015-08-13,"15세 관람가"
"349","허삼관","하정우","956103",7.61,"드라마",2015-01-14,"12세 관람가"
"350","살인의뢰","손용호","855988",7.04,"범죄, 스릴러",2015-03-12,"청소년 관람불가"
"351","손님","김광태","828029",6.86,"판타지, 공포",2015-07-09,"15세 관람가"
"352","인시디어스 3","리 워넬","825517",7.4,"공포",2015-07-09,"15세 관람가"
"353","하트 오브 더 씨","론 하워드","809841",8.16,"액션, 모험, 드라마",2015-12-03,"12세 관람가"
"354","헝거게임 : 더 파이널","프란시스 로렌스","806737",7.88,"액션, 판타지",2015-11-18,"15세 관람가"
"355","신데렐라","케네스 브래너","716491",8.48,"멜로/로맨스",2015-03-19,"전체 관람가"
"356","픽셀","크리스 콜럼버스","681920",7.8,"SF, 코미디, 액션",2015-07-16,"12세 관람가"
"357","열정같은소리하고있네","정기훈","654407",7.96,"드라마",2015-11-25,"15세 관람가"
"358","조선마술사","김대승","627586",6.87,"드라마",2015-12-30,"12세 관람가"
"359","특종: 량첸살인기","노덕","616481",7.97,"스릴러",2015-10-22,"15세 관람가"
"360","서부전선","천성일","609063",7.16,"전쟁, 드라마",2015-09-24,"12세 관람가"
"361","어린왕자","마크 오스본","579364",8.28,"애니메이션, 판타지",2015-12-23,"전체 관람가"
"362","채피","닐 블롬캠프","573661",7.92,"액션, 범죄, SF",2015-03-12,"15세 관람가"
"363","극장판 요괴워치: 탄생의 비밀이다냥!","타카하시 시게하루","550961",8.76,"애니메이션",2015-07-22,"전체 관람가"
"364","헬머니","신한솔","523871",7.52,"코미디",2015-03-05,"청소년 관람불가"
"365","도라에몽:스탠바이미","야마자키 다카시","504153",8.49,"애니메이션",2015-02-12,"전체 관람가"
"366","위험한 상견례 2","김진영","472695",7.77,"멜로/로맨스, 코미디",2015-04-29,"15세 관람가"
"367","명탐정 코난 : 화염의 해바라기","시즈노 코분","471319",8.55,"애니메이션, 모험",2015-08-05,"전체 관람가"
"368","순수의 시대","안상훈","470308",6.4,"드라마",2015-03-05,"청소년 관람불가"
"369","뽀로로 극장판 컴퓨터 왕국 대모험","박영균","446054",8.82,"애니메이션",2015-12-10,"전체 관람가"
"370","오피스","홍원찬","441208",7.08,"스릴러",2015-09-03,"15세 관람가"
"371","협녀, 칼의 기억","박흥식","431310",6.01,"액션",2015-08-13,"15세 관람가"
"372","무뢰한","오승욱","414663",7.3,"멜로/로맨스, 드라마",2015-05-27,"청소년 관람불가"
"373","판타스틱 4","조쉬 트랭크","399610",5.66,"액션, SF",2015-08-20,"12세 관람가"
"374","내 심장을 쏴라","문제용","387408",8,"드라마",2015-01-28,"15세 관람가"
"375","소수의견","김성제","383582",8.71,"드라마",2015-06-24,"15세 관람가"
"376","그레이의 50가지 그림자","샘 테일러 존슨","364415",5.49,"드라마, 멜로/로맨스",2015-02-25,"청소년 관람불가"
"377","홈","팀 존슨","360781",8.46,"애니메이션, 모험",2015-05-21,"전체 관람가"
"378","경성학교: 사라진 소녀들","이해영","356436",6.45,"미스터리, 드라마",2015-06-18,"15세 관람가"
"379","치외법권","신재호","346483",7.21,"액션",2015-08-27,"15세 관람가"
"380","아메리칸 스나이퍼","클린트 이스트우드","345782",8.71,"액션",2015-01-14,"청소년 관람불가"
"381","에베레스트","발타자르 코루마쿠르","333038",7.81,"모험, 드라마, 스릴러",2015-09-24,"12세 관람가"
"382","스폰지밥3D","폴 티비트","325016",7.92,"애니메이션, 모험",2015-02-18,"전체 관람가"
"383","극적인 하룻밤","하기호","321641",7.49,"멜로/로맨스, 코미디",2015-12-03,"청소년 관람불가"
"384","뮨: 달의 요정","알렉상드르 헤보얀","319465",8.3,"애니메이션",2015-09-24,"전체 관람가"
"385","도리화가","이종필","317505",7.31,"드라마",2015-11-25,"12세 관람가"
"386","패딩턴","폴 킹","315024",8.76,"코미디, 가족, 모험",2015-01-07,"전체 관람가"
"387","주피터 어센딩","라나 워쇼스키","309842",6.58,"SF, 액션, 모험",2015-02-05,"12세 관람가"
"388","포켓몬 더 무비 XY 후파: 광륜의 초마신","유야마 쿠니히코","300477",8.77,"애니메이션, 모험",2015-12-23,"전체 관람가"
"389","오즈의 마법사: 돌아온 도로시","윌 핀","298482",7.98,"애니메이션, 판타지",2015-02-12,"전체 관람가"
"390","런 올 나이트","자움 콜렛 세라","289534",7.93,"액션, 범죄, 드라마",2015-03-19,"청소년 관람불가"
"391","다이노 타임","최윤석","285084",8.49,"애니메이션, 모험",2015-04-30,"전체 관람가"
"392","인서전트","로베르트 슈벤트케","282707",7.69,"SF, 액션",2015-03-25,"15세 관람가"
"393","백 투 더 비기닝","딘 이스라엘리트","266610",7.37,"SF, 스릴러",2015-02-26,"15세 관람가"
"394","스파이 브릿지","스티븐 스필버그","266493",8.65,"드라마, 스릴러",2015-11-05,"12세 관람가"
"395","투모로우랜드","브래드 버드","265810",7.56,"모험, 미스터리, SF",2015-05-27,"12세 관람가"
"396","함정","권형진","257996",6.6,"스릴러, 범죄",2015-09-10,"청소년 관람불가"
"397","명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀","야마모토 야스이치로","257381",8.22,"애니메이션, 서스펜스",2015-02-12,"12세 관람가"
"398","언브로큰","안젤리나 졸리","256802",8.06,"액션, 드라마, 전쟁",2015-01-07,"15세 관람가"
"399","소셜포비아","홍석재","251645",7.82,"스릴러, 드라마",2015-03-12,"15세 관람가"
"400","하늘을 걷는 남자","로버트 저메키스","238439",8.5,"드라마, 모험",2015-10-28,"12세 관람가"
"401","부산행","연상호","11567341",8.59,"액션, 스릴러",2016-07-20,"15세 관람가"
"402","검사외전","이일형","9707119",8.56,"범죄, 코미디",2016-02-03,"15세 관람가"
"403","캡틴 아메리카: 시빌 워","안소니 루소","8678117",8.83,"액션, SF, 스릴러",2016-04-27,"12세 관람가"
"404","밀정","김지운","7500457",8.57,"액션",2016-09-07,"15세 관람가"
"405","마스터","조의석","7147924",8.65,"액션, 범죄",2016-12-21,"15세 관람가"
"406","터널","김성훈","7120780",8.63,"드라마",2016-08-10,"12세 관람가"
"407","인천상륙작전","이재한","7051150",8.55,"전쟁, 드라마",2016-07-27,"12세 관람가"
"408","럭키","이계벽","6975571",8.76,"코미디",2016-10-13,"15세 관람가"
"409","곡성(哭聲)","나홍진","6879989",8.23,"미스터리, 스릴러",2016-05-12,"15세 관람가"
"410","덕혜옹주","허진호","5599995",8.72,"서사, 드라마",2016-08-03,"12세 관람가"
"411","닥터 스트레인지","스콧 데릭슨","5447269",8.88,"액션, 모험, 판타지",2016-10-26,"12세 관람가"
"412","주토피아","바이론 하워드","4706158",9.33,"애니메이션, 액션",2016-02-17,"전체 관람가"
"413","신비한 동물사전","데이빗 예이츠","4667391",8.69,"판타지, 모험",2016-11-16,"12세 관람가"
"414","판도라","박정우","4584993",8.78,"드라마, 스릴러",2016-12-07,"12세 관람가"
"415","아가씨","박찬욱","4288869",7.69,"스릴러, 드라마",2016-06-01,"청소년 관람불가"
"416","쿵푸팬더3","여인영","3984814",8.78,"애니메이션, 액션",2016-01-28,"전체 관람가"
"417","라라랜드","데이미언 셔젤","3600746",8.9,"드라마, 뮤지컬",2016-12-07,"12세 관람가"
"418","귀향","조정래","3587182",9.33,"드라마",2016-02-24,"15세 관람가"
"419","데드풀","팀 밀러","3317184",8.53,"액션",2016-02-17,"청소년 관람불가"
"420","나우 유 씨 미 2","존 추","3100113",8.53,"범죄, 액션",2016-07-13,"12세 관람가"
"421","형","권수경","2982320",8.91,"코미디, 드라마",2016-11-23,"12세 관람가"
"422","엑스맨: 아포칼립스","브라이언 싱어","2938771",8.24,"액션, 모험, 판타지",2016-05-25,"12세 관람가"
"423","미스 페레그린과 이상한 아이들의 집","팀 버튼","2718160",8.58,"판타지, 미스터리",2016-09-28,"12세 관람가"
"424","제이슨 본","폴 그린그래스","2611969",8.31,"액션, 스릴러",2016-07-27,"15세 관람가"
"425","도리를 찾아서","앤드류 스탠튼","2601761",8.62,"애니메이션, 모험",2016-07-06,"전체 관람가"
"426","아수라","김성수","2594553",6.54,"범죄, 액션",2016-09-28,"청소년 관람불가"
"427","정글북","존 파브로","2537438",8.57,"모험, 드라마",2016-06-09,"12세 관람가"
"428","마이펫의 이중생활","크리스 리노드","2520700",8.67,"애니메이션, 코미디",2016-08-03,"전체 관람가"
"429","배트맨 대 슈퍼맨: 저스티스의 시작","잭 스나이더","2256691",7.16,"액션, 모험, 판타지",2016-03-24,"12세 관람가"
"430","굿바이 싱글","김태곤","2108561",8.42,"코미디, 드라마",2016-06-29,"15세 관람가"
"431","봉이 김선달","박대민","2051386",8.26,"코미디, 모험",2016-07-06,"12세 관람가"
"432","레버넌트: 죽음에서 돌아온 자","알레한드로 곤잘레스 이냐리투","2007649",7.97,"모험, 드라마",2016-01-14,"15세 관람가"
"433","컨저링 2","제임스 완","1928605",8.34,"공포",2016-06-09,"15세 관람가"
"434","수어사이드 스쿼드","데이비드 에이어","1898220",7.6,"액션",2016-08-03,"15세 관람가"
"435","씽","가스 제닝스","1730771",8.99,"뮤지컬, 애니메이션",2016-12-21,"전체 관람가"
"436","인디펜던스 데이: 리써전스","롤랜드 에머리히","1500744",7.34,"액션, 모험, SF",2016-06-22,"12세 관람가"
"437","탐정 홍길동: 사라진 마을","조성희","1430960",8.23,"드라마, 액션",2016-05-04,"15세 관람가"
"438","벤허","티무르 베크맘베토브","1400397",8.48,"모험, 드라마",2016-09-14,"12세 관람가"
"439","굿 다이노","피터 손","1330181",8.92,"애니메이션, 모험",2016-01-07,"전체 관람가"
"440","셜록: 유령신부","더글러스 맥키넌","1278885",7.51,"범죄, 드라마",2016-01-02,"12세 관람가"
"441","특별수사: 사형수의 편지","권종관","1243065",8.54,"범죄, 드라마",2016-06-16,"15세 관람가"
"442","시간이탈자","곽재용","1202168",7.88,"스릴러",2016-04-13,"15세 관람가"
"443","동주","이준익","1176300",9.18,"드라마",2016-02-17,"12세 관람가"
"444","당신, 거기 있어줄래요","홍지영","1168782",8.8,"판타지, 드라마",2016-12-14,"12세 관람가"
"445","워크래프트: 전쟁의 서막","던칸 존스","1163223",8.67,"액션, 모험, 판타지",2016-06-09,"12세 관람가"
"446","스타트렉 비욘드","저스틴 린","1157472",8.47,"액션, 모험, SF",2016-08-17,"12세 관람가"
"447","미씽: 사라진 여자","이언희","1153201",8.53,"미스터리, 가족",2016-11-30,"15세 관람가"
"448","라이트 아웃","데이비드 F. 샌드버그","1111284",7.71,"공포",2016-08-24,"15세 관람가"
"449","오빠생각","이한","1069962",8.5,"드라마, 전쟁",2016-01-21,"12세 관람가"
"450","날, 보러와요","이철하","1063286",8.02,"미스터리, 스릴러",2016-04-07,"청소년 관람불가"
"451","로그 원: 스타워즈 스토리","가렛 에드워즈","1019285",8.34,"액션, 모험, 판타지",2016-12-28,"12세 관람가"
"452","맨 인 더 다크","페데 알바레즈","1003406",8.43,"공포, 스릴러",2016-10-05,"청소년 관람불가"
"453","고산자, 대동여지도","강우석","974262",8.01,"드라마",2016-09-07,"전체 관람가"
"454","미 비포 유","테아 샤록","945172",8.78,"멜로/로맨스",2016-06-01,"12세 관람가"
"455","매그니피센트 7","안톤 후쿠아","921317",8.06,"액션, 서부",2016-09-14,"15세 관람가"
"456","갓 오브 이집트","알렉스 프로야스","910345",8.01,"모험, 판타지",2016-03-03,"12세 관람가"
"457","레전드 오브 타잔","데이빗 예이츠","858406",8.02,"액션, 모험",2016-06-29,"12세 관람가"
"458","좋아해줘","박현진","848117",8.6,"멜로/로맨스, 코미디",2016-02-17,"12세 관람가"
"459","브리짓 존스의 베이비","샤론 맥과이어","820995",9.1,"코미디, 멜로/로맨스",2016-09-28,"15세 관람가"
"460","스플릿","최국희","758195",9.15,"드라마",2016-11-09,"15세 관람가"
"461","런던 해즈 폴른","바박 나자피","731584",8.47,"액션, 범죄, 스릴러",2016-03-10,"15세 관람가"
"462","국가대표2","김종현","710117",8.78,"드라마",2016-08-10,"12세 관람가"
"463","인페르노","론 하워드","689071",8.1,"미스터리, 스릴러",2016-10-19,"15세 관람가"
"464","앵그리버드 더 무비","클레이 케이티스, 퍼갈 레일리","680622",8.42,"애니메이션, 액션",2016-05-19,"전체 관람가"
"465","그날의 분위기","조규장","653226",7.87,"멜로/로맨스, 코미디",2016-01-14,"15세 관람가"
"466","사냥","이우철","645834",5.92,"액션, 스릴러",2016-06-29,"15세 관람가"
"467","널 기다리며","모홍진","635177",7.73,"스릴러",2016-03-10,"청소년 관람불가"
"468","설리: 허드슨강의 기적","클린트 이스트우드","627424",8.92,"드라마",2016-09-28,"12세 관람가"
"469","잭 리처: 네버 고 백","에드워드 즈윅","612328",8.13,"액션, 범죄, 드라마",2016-11-30,"15세 관람가"
"470","싱 스트리트","존 카니","563035",9,"드라마, 멜로/로맨스",2016-05-19,"15세 관람가"
"471","아이스 에이지: 지구 대충돌","마이크 트메이어","553760",8.06,"애니메이션, 모험",2016-07-20,"전체 관람가"
"472","메카닉: 리크루트","데니스 간젤","552006",6.6,"액션, 범죄, 스릴러",2016-08-31,"15세 관람가"
"473","명탐정 코난: 순흑의 악몽","시즈노 코분","522344",9.02,"애니메이션",2016-08-03,"12세 관람가"
"474","고스트버스터즈","폴 페이그","515553",8.25,"액션, 코미디, SF",2016-08-25,"12세 관람가"
"475","거울나라의 앨리스","제임스 보빈","513202",8.47,"모험, 가족, 판타지",2016-09-07,"12세 관람가"
"476","가려진 시간","엄태화","511369",8.24,"드라마, 판타지",2016-11-16,"12세 관람가"
"477","해어화","박흥식","485695",8.23,"드라마",2016-04-13,"15세 관람가"
"478","계춘할망","창감독","482784",8.63,"드라마, 가족",2016-05-19,"15세 관람가"
"479","로봇, 소리","이호재","476653",8.25,"드라마",2016-01-27,"12세 관람가"
"480","빅쇼트","아담 맥케이","447220",8.09,"드라마",2016-01-21,"청소년 관람불가"
"481","헌츠맨: 윈터스 워","세딕 니콜라스 트로얀","444927",7.53,"액션, 모험, 드라마",2016-04-13,"12세 관람가"
"482","나를 잊지 말아요","이윤정","427113",6.72,"멜로/로맨스",2016-01-07,"15세 관람가"
"483","나의 소녀시대","프랭키 첸","410538",8.82,"멜로/로맨스, 드라마",2016-05-11,"15세 관람가"
"484","언더 워터","자움 콜렛 세라","384791",8.23,"드라마, 스릴러",2016-07-13,"15세 관람가"
"485","클로버필드 10번지","댄 트라첸버그","357736",7.46,"미스터리, 스릴러",2016-04-07,"15세 관람가"
"486","위자 : 저주의 시작","마이크 플래너건","331886",7.73,"공포",2016-11-09,"12세 관람가"
"487","극장판 요괴워치: 염라대왕과 5개의 이야기다냥!","타카하시 시게하루","330725",8.42,"애니메이션",2016-07-20,"전체 관람가"
"488","캐롤","토드 헤인즈","325616",8.68,"드라마, 멜로/로맨스",2016-02-04,"청소년 관람불가"
"489","아기배달부 스토크","니콜라스 스톨러","323730",8.83,"애니메이션, 코미디",2016-12-07,"전체 관람가"
"490","위대한 소원","남대중","308457",8.19,"코미디, 드라마",2016-04-20,"15세 관람가"
"491","구스범스","롭 레터맨","305131",8.26,"액션, 모험, 코미디",2016-01-14,"12세 관람가"
"492","스포트라이트","토마스 맥카시","301125",8.91,"드라마, 스릴러",2016-02-24,"15세 관람가"
"493","포인트 브레이크","에릭슨 코어","295096",7.98,"액션, 범죄",2016-01-07,"15세 관람가"
"494","앨빈과 슈퍼밴드: 악동 어드벤처","월트 베커","292495",8.43,"애니메이션, 모험",2016-02-04,"전체 관람가"
"495","혼숨","이두환","288016",6.25,"공포",2016-10-26,"15세 관람가"
"496","포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」","유야마 쿠니히코","282565",8.74,"모험, 판타지, 가족",2016-12-22,"전체 관람가"
"497","극장판 안녕 자두야","손석우","280656",7.99,"애니메이션",2016-05-04,"전체 관람가"
"498","비밀은 없다","이경미","250904",6.99,"스릴러",2016-06-23,"청소년 관람불가"
"499","순정","이은희","240661",8.94,"드라마",2016-02-24,"12세 관람가"
"500","닌자터틀 : 어둠의 히어로","데이브 그린","235211",7.91,"액션, 모험, 코미디",2016-06-16,"12세 관람가"
"501","신과함께-죄와 벌","김용화","14411675",8.73,"판타지, 드라마",2017-12-20,"12세 관람가"
"502","택시운전사","장훈","12189355",9.28,"드라마, 가족",2017-08-02,"15세 관람가"
"503","공조","김성훈","7817654",8.83,"액션",2017-01-18,"15세 관람가"
"504","스파이더맨: 홈커밍","존 왓츠","7258678",8.83,"액션, 모험, SF",2017-07-05,"12세 관람가"
"505","1987","장준환","7232387",9.31,"드라마",2017-12-27,"15세 관람가"
"506","범죄도시","강윤성","6880546",9.28,"액션",2017-10-03,"청소년 관람불가"
"507","군함도","류승완","6592168",7.34,"액션, 드라마",2017-07-26,"15세 관람가"
"508","청년경찰","김주환","5653444",9.03,"액션",2017-08-09,"15세 관람가"
"509","더 킹","한재림","5317959",8.39,"범죄, 드라마",2017-01-18,"15세 관람가"
"510","미녀와 야수","빌 콘돈","5138330",8.99,"판타지, 뮤지컬",2017-03-16,"전체 관람가"
"511","킹스맨: 골든 서클","매튜 본","4945486",8.61,"액션, 모험, 코미디",2017-09-27,"청소년 관람불가"
"512","토르: 라그나로크","타이카 와이티티","4858572",9.02,"액션, 모험, 판타지",2017-10-25,"12세 관람가"
"513","강철비","양우석","4452850",8.73,"액션, 드라마",2017-12-14,"15세 관람가"
"514","꾼","장창원","4018341",8.32,"범죄",2017-11-22,"15세 관람가"
"515","남한산성","황동혁","3849129",8.17,"드라마",2017-10-03,"15세 관람가"
"516","너의 이름은.","신카이 마코토","3712891",9.02,"애니메이션, 드라마",2017-01-04,"12세 관람가"
"517","미이라","알렉스 커츠만","3689290",7.49,"액션, 모험, 판타지",2017-06-06,"15세 관람가"
"518","분노의 질주: 더 익스트림","F. 게리 그레이","3653238",9.18,"액션, 범죄, 스릴러",2017-04-12,"15세 관람가"
"519","슈퍼배드 3","카일 발다","3324874",8.76,"애니메이션, 모험",2017-07-26,"전체 관람가"
"520","아이 캔 스피크","김현석","3282587",9.23,"드라마",2017-09-21,"12세 관람가"
"521","캐리비안의 해적: 죽은 자는 말이 없다","요아킴 뢰닝","3049728",8.58,"액션, 모험, 코미디",2017-05-24,"12세 관람가"
"522","프리즌","나현","2931897",8.25,"범죄, 액션",2017-03-23,"청소년 관람불가"
"523","덩케르크","크리스토퍼 놀란","2792705",8.62,"액션, 드라마, 스릴러",2017-07-20,"12세 관람가"
"524","가디언즈 오브 갤럭시 VOL. 2","제임스 건","2736060",9.05,"액션, SF",2017-05-03,"12세 관람가"
"525","살인자의 기억법","원신연","2658589",8.17,"범죄, 스릴러",2017-09-06,"15세 관람가"
"526","트랜스포머: 최후의 기사","마이클 베이","2614234",6.9,"액션, 모험, SF",2017-06-21,"12세 관람가"
"527","보안관","김형주","2588628",8.26,"범죄, 코미디",2017-05-03,"15세 관람가"
"528","조작된 도시","배종","2515590",8.56,"액션, 범죄",2017-02-09,"15세 관람가"
