"","movie","director","spectator","point","genre","release","limit"
"736","레드슈즈","홍성호","763058",9.22,"애니메이션, 모험",2019-07-25,"전체 관람가"
"737","명탐정 피카츄","롭 레터맨","686811",8.51,"액션, 모험, 코미디",2019-05-09,"전체 관람가"
"738","샤잠!","데이비드 F. 샌드버그","657294",7.71,"액션, 판타지, SF",2019-04-03,"12세 관람가"
"739","극장판 헬로카봇:옴파로스 섬의 비밀","최신규","575353",8.77,"애니메이션",2019-01-31,"전체 관람가"
"740","이스케이프 룸","애덤 로비텔","563114",7.94,"액션, 공포, 스릴러",2019-03-14,"15세 관람가"
"741","애나벨 집으로","게리 도버먼","481766",7.47,"공포, 미스터리",2019-06-26,"15세 관람가"
"742","글래스","M. 나이트 샤말란","466475",8.06,"드라마, 미스터리",2019-01-17,"15세 관람가"
"743","그린 북","피터 패럴리","433980",9.55,"드라마",2019-01-09,"12세 관람가"
"744","광대들: 풍문조작단","김주호","433756",8.48,"드라마",2019-08-21,"12세 관람가"
"745","장난스런 키스","프랭키 첸","428009",8.54,"멜로/로맨스",2019-03-27,"12세 관람가"
"746","해피 데스데이 2 유","크리스토퍼 랜던","412850",8.3,"공포, 코미디",2019-02-14,"15세 관람가"
"747","극장판 공룡메카드: 타이니소어의 섬","최신규","410273",9.17,"애니메이션",2019-01-10,"전체 관람가"
"748","고질라: 킹 오브 몬스터","마이클 도허티","359041",8.12,"액션, 모험, SF",2019-05-29,"12세 관람가"
"749","덤보","팀 버튼","345522",9.18,"가족, 판타지",2019-03-27,"전체 관람가"
"750","러브 유어셀프 인 서울","BTS","340411",9.29,"공연실황",2019-01-26,"전체 관람가"
"751","브링 더 소울 : 더 무비","박준수","336208",9.76,"다큐멘터리",2019-08-07,"전체 관람가"
"752","헬보이","닐 마샬","323198",7.75,"액션, 모험, 판타지",2019-04-10,"청소년 관람불가"
"753","천로역정: 천국을 찾아서","로버트 페르난데스","293412",9.43,"애니메이션, 모험",2019-06-13,"전체 관람가"
"754","미성년","김윤석","293258",8.65,"드라마",2019-04-11,"15세 관람가"
"755","배심원들","홍승완","288303",9.31,"드라마",2019-05-15,"12세 관람가"
"756","기방도령","남대중","286189",7.11,"코미디",2019-07-10,"15세 관람가"
"757","신데렐라:마법 반지의 비밀","린 사우더랜드","284913",6.62,"애니메이션, 판타지",2019-02-20,"전체 관람가"
"758","기묘한 가족","이민재","263598",7.51,"코미디",2019-02-13,"12세 관람가"
"759","악질경찰","이정범","262235",7.14,"드라마",2019-03-20,"청소년 관람불가"
"760","메리 포핀스 리턴즈","롭 마샬","224160",8.69,"판타지, 뮤지컬",2019-02-14,"전체 관람가"
"761","명탐정 코난: 감청의 권","나가오카 치카","219118",7.38,"애니메이션",2019-07-24,"12세 관람가"
"762","어린 의뢰인","장규성","203009",9.13,"드라마",2019-05-22,"12세 관람가"
"763","요로나의 저주","마이클 차베즈","202756",7.73,"공포, 미스터리",2019-04-17,"15세 관람가"
"764","비스트","이정호","202007",8.37,"범죄, 스릴러",2019-06-26,"15세 관람가"
"765","언니","임경택","198377",7.27,"액션",2019-01-01,"청소년 관람불가"
"766","언더독","오성윤","194024",9.47,"애니메이션",2019-01-16,"전체 관람가"
"767","안녕, 티라노: 영원히, 함께","시즈노 코분","191781",8.7,"애니메이션",2019-08-14,"전체 관람가"
"768","롱 샷","조나단 레빈","190993",8.94,"코미디",2019-07-24,"15세 관람가"
"769","앵그리 버드 2: 독수리 왕국의 침공","서럽 밴 오먼","187954",9.05,"애니메이션, 액션",2019-08-07,"전체 관람가"
"770","우상","이수진","183784",6.61,"스릴러",2019-03-20,"15세 관람가"
"771","자전차왕 엄복동","김유성","172213",7.49,"드라마",2019-02-27,"12세 관람가"
"772","진범","고정욱","168119",7.51,"스릴러",2019-07-10,"15세 관람가"
"773","더 페이버릿: 여왕의 여자","요르고스 란티모스","164372",8.92,"드라마",2019-02-21,"15세 관람가"
"774","가버나움","나딘 라바키","143249",9.54,"드라마",2019-01-24,"15세 관람가"
"775","0.0MHz","유선동","137294",6.57,"공포",2019-05-29,"15세 관람가"
"776","바이스","아담 맥케이","136483",8.73,"드라마",2019-04-11,"15세 관람가"
"777","극장판 엉덩이 탐정: 화려한 사건 수첩","히라야마 미호","135315",5.95,"애니메이션",2019-07-11,"전체 관람가"
"778","커런트 워","알폰소 고메즈-레존","131205",7.98,"드라마",2019-08-22,"12세 관람가"
"779","명탐정 코난:전율의 악보","야마모토 야스이치로","116059",8.25,"애니메이션, 서스펜스",2019-02-14,"12세 관람가"
"780","로켓맨","덱스터 플레처","107235",8.86,"드라마, 판타지",2019-06-05,"15세 관람가"
"781","미래의 미라이","호소다 마모루","106521",7.29,"애니메이션",2019-01-16,"전체 관람가"
"782","교회오빠","이호경","105023",9.87,"다큐멘터리",2019-05-16,"전체 관람가"
"783","공포의 묘지","케빈 콜쉬","102826",6.33,"스릴러, 공포",2019-04-10,"15세 관람가"
"784","크게 될 놈","강지은","102374",9.14,"드라마",2019-04-18,"15세 관람가"
"785","콜드 체이싱","한스 페터 몰란트","101694",7.34,"액션",2019-02-20,"15세 관람가"
"786","암전","김진원","101558",5.33,"공포, 미스터리",2019-08-15,"15세 관람가"
"787","라스트 미션","클린트 이스트우드","101465",8.87,"드라마",2019-03-14,"15세 관람가"
"788","파이브 피트","저스틴 밸도니","98661",9.02,"드라마, 멜로/로맨스",2019-04-10,"15세 관람가"
"789","원더랜드","딜런 브라운","96538",8.57,"애니메이션, 모험",2019-08-14,"전체 관람가"
"790","아이 엠 마더","피에르 모렐","94119",8.66,"액션, 드라마, 스릴러",2019-04-11,"15세 관람가"
